Review Text,Label
"I was wondering whether to purchase this top and decided last weekend during the 20% off event, i would splurge!!! i got the m as i'm tall (5'10"") and it does look a little strange on the arms atleast on my body. the sleeve is cut too high for me. i wish it was longer or even a long-sleeved item! the peach-apricot- nude colored fabric is a little uncomfortable and the fabric close to the neck is a different grey from the other sweatshirt pieces. the sweatshirt pieces aren't particularly soft eit",Neutral
This skirt is very comfortable and fits tts or even runs a bit large. i was able to dress it up with a great white shirt and statement necklace. great find.,Positive
"I ordered these on sale despite a previous reviewer's comment that they were unflattering on the back side. they really do hug your bum, but that is not what bothers me. what bothers me is that the back side is totally see through, so unless you plan on wearing them with a long top, they are not wearable in public or around other people. i have gotten some of my favorite pieces from retailer, but also some of the most poorly designed. unfortunately, these fall in the latter category.",Neutral
"I love this jess. i got it in the blue gray color, and i think it's going to be great for spring and will work into summer as well. cloth and stone is always one of my favorite brands and this dress is so soft. i'm thinking that i'm going to belt it to give it some more shape but i like how it looks unbelted as well",Positive
No only is this a beautiful update to a basic white top it is incredibly soft. i couldn't pass it up and wish it came in more colors!,Positive
"This is a great dress from moving to summer into fall. it's great right now with the warm temps, but a throw on a jacket and some booties and you have a fall outfit. it's very comfortable also. there is a slip underneath which is what you see with the buttons open in the front. i wish the slip was a little longer and the dress is see through. maybe, you can adjust it at the straps some. at any rate, it's a nice dress and i'm keeping it.",Positive
"I bought the holly color which appears almost granite/slate color in natural light. overall, great transitional sweater piece for fall. i'm considering exchanging it for an xs since the s seems a bit large. comfy/cozy yet breathable.",Positive
"I typically wear a 26 or 27 in jeans, had to size up to a 28 in these. the legs felt fine in the size 27, but the waistband was a bit tight, so i went with the 28s. i am 5'2"" 115lbs. i'll also be hemming or possibly just cutting these off, they are about 4 inches longer on me compared to the model pictured.",Positive
"Interesting, slightly transparent fabric. neckline is not so open as pictured. body is boxier than pictured.
would recommend as a maybe.",Neutral
"I got so many compliments on this the first day i wore it. i think of this more like a sweater coat than a regular sweater. it is extremely soft and warm, but not bulky at all. it lays really neatly, which is why i think of it more like a coat. this will definitely be a staple moving into the winter and then into spring. keep in mind though that this does not button - they're just for show.",Positive
Like the style of a blazer but the fabric of denim. looking forward to pairing with dresses and black pants,Positive
"I love this cardigan! its fit, however, really depends a lot on an individual's height and build. i am about 150 lbs. i have slim arms and am larger in the chest. my typical size in retailer clothing is m. having said that, i found that in this top a s fit best. it made a difference with how the pockets and lapels lay. the pants you wear may affect the look when you snap it closed. wearing leggings or slim pants (ex. pilcro cords) gave a much more flattering look to my backside. jeans...not so muc",Positive
I really liked the design. ordered a medium which was huge. also thought i would not be able to tolerate it because of the material -- a bit itchy. returned it.,Negative
Fancy and fun. i love the green and the texture. shiny outside and soft inside. flattering fit and a little whimsical and dressy or casual.,Positive
I wore this dress to work with a tan pair of booties and the compliments started upon entry and did not stop till the end of the day. very feminine and comfy all at once.,Positive
"I bought this in june on a sale and am so glad that i did. it''s so pretty and classy. the neck has stretch so it's not tight at all. it's styled like a swing top, but it really isn't. there isn't much of a fabric abundance to this, although it is loose (and cool.) i bought an xl, which is my usual size and the fit is fine.

there are 2 layers of fabric. i do not think a cami is needed at all.

i bought this in black and the floral embroidery just pops! i'm just not a white fan due to cleani",Positive
"So this skirt is everything. the only downside is that it's not in a petite sizing so i'm going to have to get this altered (i'm 5'3). the sizing is appropriate (usually wear an 8 or 10 in pants and got a size medium for the skirt), the material is thick enough for spring or summer weather, the color is just right (not too light), the pockets are adorable and i feel like i'm channeling some 70's realness, sits higher on your waist, and is super comfortable. i know i'm going to get a lot of use o",Positive
"This dress looks great online with boots as shown. when it arrived and i tried it on, it fit great on my arms, wasn't too tight on my neck, but once it went down over my chest (36c), the dress never came back ""in"" to show my feminine waist/shape. it just looked like a big trash bag on me, very disappointing! similar to a mumu.",Negative
"I ordered this top in small petite but wished i had exchanged it for an xsp because it's wide in the arm holes. but i love it nonetheless and wear it with a cami underneath. i love that while it's sleeveless, the straps are wide. this type of wide top is not for well endowed women up top. i don't have that problem so it looks really cute. i also love the length. a lot of tops tend to be really long and for a petite person, shorter tops look best.",Positive
"I was excited to get this shirt in the mail, i liked the pattern a lot, but was so disappointed when i tried it on. i am 5'4"", 130 lbs. and wear a c cup so i tried ordering a small as a starting point. there was enough fabric on the sides to make another shirt! despite the excess fabric, the shirt pulled open in the chest area, making it a complete fail. i'm sure the model in the photo must have the shirt clipped in the back to pull in the excess fabric, especially since she's small on top. ther",Negative
"Love the print and was looking forward to this dress. the length and bust are just right in normal sizing, however the 'swing' effect is all off. there's so much fabric. its like wearing a moo moo. not at all flattering. disappointed in this one.",Negative
"The jacket runs large so size down. it's a good jacket to throw on the go. but i don't see this lasting long bc after he first wash, it started piling. the quality of the material isn't great!",Positive
Lovely dress. i did send it back only because the length was below my knee and i prefer slightly above the knee.,Positive
I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,Positive
"I waited six weeks for this dress to arrive and was so disappointed. loved the skirt part of it. but the top, which i guess i didn't see in photo was pleated as well, made my bust look huge and it puffed out on sides. would have been a wonderful summer dress, flowing and cool.",Negative
"This just arrived today. the material is very soft and i love the olive color. it has a zipper in the back but i was able to easily slip this over my head, making me think it runs a bit large. because it is loose the fact that the drop waist hits right at the hip doesn't bother me, though i thought it would fall a little lower. i am only 5'2"" and i consider this to be a short dress. with thick leggings i think it will be great winter dress. the bodice is fully lined (the skirt is not) and the ne",Positive
"This jacket looked adorable on. it was also quite comfortable. however, it sheds and left fuzz on every dark surface it touched. sadly, this is a deal breaker for me.",Negative
"Loved the fabric of this dress, and the slip that comes with it. i wish the waist line fit a little better though. i am 5'4"" with an athletic build and it looked really boxy on me. i was so disappointed. thought i could synch it in to make it work, but think this is a return.",Positive
"I loved this dress in the photos and couldn't wait to try it on in person. the print varies from dress to dress and mine had noticeably much more cream color in it. i didn't mind too much but it didn't look like the dress the model is wearing. i bought the xxs petite which fit true to size. the v neck is a bit low for petite sizing but the length was perfect on my 5'2"" frame which was a plus. i agree with the other reviewers the fabric is cheap and feels cheap. not something i would expect from",Neutral
"I loved the design online but the sweater is bulky and boxy. i had chosen the cream with blue and now looking back at the other pictures of the beige/cream it represents it better. it made me look very wide. loved it online but it wasn't for me, returned it.",Negative
"I wanted to get a couple tops for date nights that went well with skinny jeans and this hit the mark! as mentioned before, this top is translucent and thus would recommend using a cami as well. however the embroidery is beautiful. i have not had it cleaned yet and thus cannot comment on the durability. can't wait to wear it out.",Positive
"Love the print, length, and cut. but the tie waist hangs in a weird way and seemed like it would stretch out and sag after a while. sad to return it.",Neutral
"Absolutely fantastic top, the cut is very flattering and the colors are gorgeous in the pattern (i also bought the white).",Positive
"As other reviewers have pointed out, the bum is not flattering. the pockets are wide and the fit sort of flattens you out. bummer. literally. too bad, i wanted these to work more than then coh's parker cropped. the coh's win. my wallet loses.",Neutral
"Great top to dress (further) up or down. it does, however, run large and the straps seem (too) long. if you are a petite you will not be able to wear a regular without alterations.",Positive
"Fabulous dress!
clip off the tags because they show through the lace on the back (you can see this on the back photo of one recent reviewer).",Positive
"Very soft, comfy, lightweight sweater. perfect for layering as the weather gets cooler. looks great with jeans or jean shorts.",Positive
Very flattering on. fitted on top with a loose swingy bottom. like most retailer tops it does run a little big. i would size down if between sizes. the material does seem a little fragile so i'm not sure how it will hold up. i like the look/fit enough that i may get a 2nd color.,Positive
This romper is adorable!!! i love the long sleeves!,Positive
"I was excited to see this offered by retailer because i have been looking for a light blue summer jacket or blazer that isn't a denim jacket and this seemed to fit the bill. i've ordered several cartonnier blazers in 00p, as early as 2013 and as late as spring 2015, and have been very happy with them. on the plus side i would say that the color is depicted accurately and it does seem like a high quality jacket. but while the shoulders and sleeves were a pretty standard fit for 00p, it was much too",Neutral
Saw this top online and hoped for the best. my hopes were rewarded! lovely lightweight summery top but i think with a cardigan it could be worn in the fall also. i asked 4 friends if they liked it and they all agreed it was very flattering so i decided it was a keeper. have worn it three times since purchasing and have received lots of compliments.,Positive
"This top is really pretty and nice quality. runs big - i went down a size, and its perfect. coloring is more subtle in person than in the photo.",Positive
"I purchased this top in the wine color and found it to be cute and comfortable. the sleeves are not tight which is nice, but it is very short and moving your arms away from our sides make this shirt look a little bit like a tent. the color is pretty and the button detail is nice.
overall good purchase, but i'm glad i got it on sale!",Positive
Great boho chic top. a bit over - sized but soft and love the colors!,Positive
I just picked this up in store the other day! i absolutely love it! it is so easy to throw on real quick for a cute outfit.,Positive
The dress is true to fit and very soft. you can dress it up or be casual with a denim jacket.,Positive
This shirt is so cute with the cutout stripes and it goes with everything. it's easy to wear and true to size. you can dress it up or dress it down. the fabric is soft but also light weight. i am so happy to own this classic piece.,Positive
"I agree with everything the other reviewer stated. this top is very billowy and runs large, it would be nice if i didn't have a chest! the other issue with this top is the macrame detailing is made more out of a satin like material and i wanted it to look closer to natural raw fiber. the pink is slightly more pink in person but it's not that far off. had to return.",Positive
"I'm 5' 0"" and 120 pounds. this top is beautiful. it's high neck is so flattering. a nice switch it up for us gals that are older and like neck coverage sometimes. i purchased a small and it is a little longer, but since it has elastic at the waist it's no problem. i will tuck it in my jeans and skirts. the arm holes are perfect. the as far as it being a lot of blouse, i didn't find that at all. but i am busty, 34c or d depending on brand of bra. the color is ivory. omits completely sheer, no lin",Positive
"Perfect sweater to throw on with anything. it is fairly thin, i wore a cami underneath. the sleeves and hem are rolled. you have to be careful and it can snag easily. happy with my purchase.",Positive
"I ordered this blazer so i could look more put-together for work, but still feel comfortable. it checks both of those boxes, (it's almost like a sweatshirt material with more structure) and has a great cut/style. my only word of caution is that i thought this jacket was white with blue stripes, but the white part is actually a light heathered gray. i think i would have preferred white, but i still like it enough to keep. got my normal size small, which fit great.",Positive
"I ordered 2 sizes to try for in store pickup. both were too large, so size down (i am 5'4"", 125 lbs and the s was too large in the neck and body, even though i generally wear things large). also, the collar was a hemmed flat collar, not the roll collar depicted. i reviewed that with the salesperson as well -- we were both at a loss to explain why, and the tiger embellishments were more orange, yellow and glittery on the ones i ordered.",Neutral
"I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen, in person it looks cheap and tacky. moreover, the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.
overpriced, to boot.
obviously, mine is a minority opinion.",Negative
I agree with the other reviewer that the color of this top is more burgundy with purple undertones rather than a deep red like shown online. the fit was very boxy on me and it did not look flattering. i was not willing to to have it altered so i returned it.,Neutral
I am wearing a medium in the photos and for reference my measurements are 38-30-40. i did not purchase this top.,Neutral
I always search each summer for a maxi dress and this is the winner this summed! i love the way it wraps. fits perfectly. i got a size medium and i am 5'5 34dd; the dress is long enough to wear with flats or heels. i recommend this!,Positive
"I got this shirt and loved it so much the first time i wore it. it swings well and is an easy basic that looks great. however, after i washed it the first time, it became clingy and stuck to me and doesn't lie right. it's such a shame because i was thrilled with this as an addition to my wardrobe!",Neutral
"I bought this tunic to wear as a swim cover-up, last minute. but it has become my go to for wearing over skinny jeans. the length makes it so versatile, great layering piece.",Positive
"These jeans are very unique thanks to the embroiding. would have perferred colorful embroiding though. they are boyfriend cut, but not slouchy. just a bit loose even around athletic legs. they run true to size, but have a lot of give. after wearing them for a a little bit i catch myself pulling them up a bit. if you want a snug fit and are between sized i would go down a size.",Positive
Does not say ribbed. did not want ribbed. would not have bought ribbed,Negative
"Great petite maxi! i'm 5'3 and it skims the top of my feet. soft, fits great and went right into my suitcase for my upcoming  trip. can dress up or down.",Positive
"Normally i would not have bought this color and print, it is just not a color that i usually wear. but after reading reviews i ordered it online. i love love this top. it looks good, is flattering, and is a very nice and different color. i wore it with berry leggings and love it. the top is very comfortable, can be worn with pants and leggings. the only issue i have is that since the jersey fabric is only at the back and not in the front, it pulls at the tummy section in the front and shows an o",Positive
"The fabric is so thin, i think this entire garment might actually fit in a normal-sized letter envelope. the problem is not going to be that the garment is see-through (which it is) - it's the fact that the super thin fabric is not silky, it's cotton-ey, and i suspect it will get ""stuck"" against the back of my shirt/pants while i'm wearing it and not drape nicely. i wonder if some tiny weights could be sewn to the bottom hem to keep it laying properly.....

however, i'm such a sucker for a pre",Positive
"I purchased the blouse in both the ivory and black. the black i decided to keep because it will go with anything. i was hoping the ivory blouse would work but it's thin and see through. if someone could please tell me where i could find a casual, white or ivory blouse that is not entirely see through i would greatly appreciate it!",Neutral
"This dress might be the most comfortable article of clothing i own, especially for the hot summers. it is attractively loose, and so light that you barely feel like you are wearing it. love it!",Positive
"I tried these on at the store and the fit was good, the length was even ok for me as a petite person. the fabric was substantial and mostly cotton, which i like. but i felt like the floral pattern drew too much attention to my thighs, so it wasn't ultimately something i felt i would wear. still a nice comfort piece if you are ok with a floral pattern on your lower half.",Positive
"I like how this jacket is very versatile. you can wear it to work, or play. it does have interesting detail on it, i kept it based on the price and those details. i have the olive color. the arms are a little tight.",Neutral
I tried this on in the store and almost considered buying it until i looked at the price tag. i think it's unique and interesting. i just don't think it's worth the $$$. the fabric is nothing special and the construction is not complicated enough to warrant the cost. i would consider it on sale. retailer has more interesting sweaters made with softer blends for a similar price - all things considered i don't think it's a smart purchase.,Positive
"It's a pretty, low-key, no fuss skirt. i prefer the ivory color because the details are more visible (there are different designs in the same hue). the zipper is very thick and sturdy, a bonus. size 2 regular fit me well, the hem falls right above my knees (i'm 5'2"", 26 waist, 36 hips), perfect for work and play. a touch of linen keeps the fabric cool for summer, but it doesn't wrinkle. for the price and the name like ""thera,"" i expect more flair to match its mediterranean name. for those who do",Positive
Beautiful pattern and shape! however i had to send it back! it is extremely see through and ran very small! i even sized up and it still pulled in the bust area! maybe someone with a smaller bust might fit them better!,Neutral
"I wasn't sure about these when i first took them out, but they are so cute! the fabric is super soft and skims the body/is not clingy. i got the black & the red. the red is more of a magenta, but i'm okay with that. i think these will be great in the fall and early winter too, under cardigans & light jackets. another bonus, they do not show a ton of cleavage, like a lot of tops out there. the arm holes are also very close to perfect. i hate how big the armholes are on tops that basically require",Positive
I just bought this top yesterday in the yellow. i can't wait until it warms up a little more to wear it. it's very comfortable and very cute. i did have to size down. i may get one of the other prints as well.,Positive
"This is very cute and well-made, but unfortunately for my coloring and hair, washed me out a bit. the attention to detail is fabulous and it is a great layering piece for spring. tts but definitely longer as is shown in picture on model.",Positive
"Never spent this much on a dress so it needs to be amazing for me to keep it.  i've never seen flannel patterns and colors like this. the details in the back are unique. but in the end, i decided to return because it's too long and although it fit fine in a size large it didn't look that great on me. the dress has an exaggerated drop waist that was too low for my short waisted frame. the fabric smells odd. i tried belting it but the pockets and back buttons created bulk.",Positive
"I love this dress! it's so comfy and flowy. i wore to an event and got many compliments on the color and design of the dress. i'm 5'5"" and weigh 150.",Positive
"Very very boxy design/cut. try on first or buy knowing you are 90% likely to return. beautiful skirt but if you don't have the right body type/measurements, will not flatter you at all.",Negative
"I love this dress! i bought the blue one and i love the designs. i recently had a baby so my body is still recovering so finding clothes is a bit difficult, but this dress looks awesome and it makes me feel like how i was before i was pregnant! it flows nicely and is super comfortable.",Positive
"I tried this dress on in the store and ended up ordering it online during the dress sale. it is extremely flattering and really accentuates the waist. it is very comfortable, and made of a nice, soft fabric. i am a 34a and it just barely reveals a tiny bit of cleavage so i don't find the neckline too low. i plan to wear it with tights and booties. i am 5' 4"" and the regular xs comes to a bit below my knees. going to enjoy wearing this lovely dress!",Positive
"I love charlie pants. i've bought a few in the past, and i've never been disappointed with quality, style, or fit. i love the side zip on these and the nice flat front as a result. i wish more pants were side zip- so much more flattering than having that part stick out under fitted shirts. i got these in a 4, my usual size, and while they fit a little more snugly than my other size 4 charlie pants, there is enough stretch that they don't look or feel too tight. i also got these in the regular, r",Positive
"I decided to go shopping at my local co store and as soon as i walked in, i saw this skirt but it was used  as a top with green cropped summery pants on a mannequin. one of the lovely salesgirls decided she liked it better that way after she tried it as a top herself.  i tried it as well and love it as a top! she was small framed and my height and told me she sized up for comfort and she was correct. if used with a strapless bra, your regular size ( mine is a small) will be uncomfortable. howeve",Positive
"I got this shirt in black, and it's perfect for the office. i ordered a medium, which i thought was a little on the larger side. well made, the details make it an interesting top.",Positive
"In general, if you were a fan of the turtleneck swing dress, you'll love the overall fit (tts) and fabric of this. the patterns/colors are also great! my issue was the armholes...they are a bit too large and the opening comes a little too far forward which makes it a little unflattering in the underarm area. i may reconsider when it goes on sale, but it's a pass for now.",Positive
"Perfect dress for the hot late summer/early autumn weeks! this beauty is flowy and rich in color. the tie back is adjustable which i love due to my weight fluctuations. because of the tie, length can be adjustable too! i'm short so the decision lies on what shoes i want to wear and how high i want my hem. this dress looks cute belted or with my cropped moto jacket thrown on top. all in all, i really like this dress and i see it staying in my closet for a long while if the horrid viscose construc",Positive
"I am 5'3"", 28/38 and got the sp. had no issues whatsoever, and love the colors.",Positive
"I ordered this shirt online and didn't even try it on... it is super see through and i would need to wear a tank underneath and i don't want to have that extra layer in the summer.
it is cute though!",Negative
"I bought this in blue/black. it is so pretty. i get so many compliments. i'm a size 4/6 but large busted. i bought this in a medium & it's perfect. just the right amount of fullness. i'm 5'4"" so the length for me is perfect w/leggings.",Positive
"I am ever in search of a light, white, summer top. this is not quite it. there are two distinct layers, and each of them is the scratchy, starchy type of gauze. it would just roast me in the summer sun--but i run fairly hot in general.",Neutral
I found this today on the one and only rack. i absolutely fell in love with it. i bought my normal size medium and it fit perfectly. other customers were asking where they could find it in the store. i highly recommend. it can be dressed up or down.,Positive
"I'm not much of a chino girl, but these fit like a favorite pair of jeans and with heels still look really polished. love them!",Positive
"Everything about this dress is perfect for my body type.  i used the tie belt as a cinch to gather the fabric and made the silhouette into a loose fit & flare.  i have a large upper body and small lower half so maybe the excess fabric balances out my body but looks terrible on other shapes.  i am 36dd 140# 5'3"" and i purchased the medium petite.",Positive
"Look closely and you will be surprised at this awesome print!  the shirt is very soft and comfy.  be warned that it runs huge.  i usually wear a medium or large in this brand.  after many tries, i ended up with a small and it is roomy.  this looks so cute under a jacket too.",Positive
"Just a warning. i am always a 6 or 8 and even the 8 was so tight in the waist i could barely out this on. if you don't have a super tiny upper waist, this won't fit well. too bad, because it's super cute, if a bit sheer.",Neutral
"Love the cut of this t-shirt. just loose enough but not big and boxy like so many other tees but not fitted either. nice weight, the hemline is interesting...overall happy with it. just hope it doesn't shrink!",Positive
"I'm not much for ponchos, but this one looked unique. it is thin, kind of a felt material - that was expected - but i was surprised to find it was shorter at waist than how it appears online,, and it was wide horizontally. the colors were more muted and the design was slightly off center unlike pic. the turtleneck was thick and itchy. it was a return.",Neutral
"Beautiful dress! beautiful color and design. as the other reviewer says, it has an expose good quality gold color zipper on the back that doesn't show in the picture, however, it adds to its style and beauty! i love the dress and so happy that found it in my size finally!",Positive
"I so badly wanted this top to work. it looks so cute! but, as soon as i tried it on, i knew it wasn't a keeper. i didn't even need a mirror! it's not suited for those of us with a bust (i'm a 34d) and anything but a lanky model-esque frame. i suggest sizing up if you're busty and want to give it a try. it looked dowdy on me.",Neutral
"I bought this shift dress for a ""black & plaid"" nye event, and it fit the bill perfectly for a cold winter's night. looks great with tights and boots, has pockets, and dresses up nicely. i like a good shift at this point in the holiday season -- leaves room for that last bit of seasonal eating and drinking. looking forward to wearing this through the winter months.",Positive
"I love this tee! while it is true to size i feel, it is meant to have a loose fit. that being said, it is a very flattering cut and has a great drape. super comfy, flattering and classic.",Positive
"I love hte green color, it is so vribant. i tried it on in regualr size, thinking i could order petite, but they sold out... waht a bummer.

fit is very flattering, and i find it comfortable.",Positive
"I was looking for a dress that had a lot of color. since i usually stick to neutrals, this was out of my comfort zone, but i found this one and loved it. it's comfortable, not clingy, and i can wear a regular bra (bonus!). i wish the waist wasn't dropped, but i think it worked well. i plan on wearing it more in the spring/summer, dressing it up or down will be easy. 

i'm usually a size 12 and this fit true to size.",Positive
"This is really one of those items that hits it out of the park. first, the fit is great. it's relaxed without being oversized or tapering way out or way in or something odd like that. it's nearly universally flattering to most body types and it's easy to wear with nearly anything. shorts, jeans, trousers, pencil skirts.....it looks great dressed up or down. 

i also like that the pleats that create the ruffle are sewn nicely (sometimes my recent purchases from retailer have not been the best qua",Positive
"First problem-i would not have ordered this at all had the description been correct. the fabric description is cotton which the dress is most certainly not. secondly, it has a really funky, cheap, unfinished, raw-hemmed slip which is simply not fitting for the dress. the keyhole in the front is super long-again, does not seem to fit the dress. i am not happy with this piece at all but it did fit tts. length is just above knee. i am 5'5"" 142 lbs 34d and the six was a good fit. sending this home t",Negative
"This is a nice style and pattern, but it is quite clingy around the hips, so beware if you don't like to reveal too much in that area. i do love the tulip-like hem.",Positive
"I was thinking this would be a straight up terry cloth athleisure top, but the subtle metallic thread woven into the cloud gray fabric elevates the style. really loved the top because of the cut and interesting hemline, but i adore it for the bit of sparkle.",Positive
"I am still in love with my ribboned denim dress from earlier this year. so, when i saw this dress i was super excited and ordered it right away in the same size. it just came and... i'm kinda disappointed. the fit is... shrunken?? kind of like i'm wearing a petite size. it's around 3 to 4 inches shorter, the tie at the waist hits instead right under my bust, and there's some weird bunching happening above my rear?? i kept wanting to pull the whole dress down more, but that's just the way it was",Positive
Light and distinctive design. the fabric seems somehow synthetic and in very warm weather might become not so fresh,Positive
This material is a nice quality but the shirt is boxy and shapeless. it was not flattering at all on my shape. i don't think it would look nice on anyone with an hourglass shape or fuller chest.,Negative
"I bought this in the neutral motif and my expectations before trying it on weren't high but i was sold once i was in the dress. sometimes dresses that have the elastic band in the waist can be tricky if you don't have a perfectly flat tummy and can accentuate the tiniest bump. however, this dress sits perfectly on the waist and is actually super slimming. i wasn't 100% sold on the pattern or color (i wish it was more off white than brown) but the fit was so great that i had to buy it! the dress",Positive
"I am 5'3' and 120 lbs for reference, and pear shaped and this dress in a 4 petite fit like a glove. granted, not a dress i would want to gain weight in, but fit perfectly. usually i am a 2 in retailer dresses but read other reviews and definitely made the right choice. it hits at a very flattering length even for someone as short as i am.",Positive
